year,plot,column,row,accession,SampleName,DTF,DTH,PtHt,PcleLng,SdLen,TGW,SdWpPlot,SdW_z
2017,196,3,77,CO-KA-2133,NA,NA,NA,110,NA,NA,NA,100.19,-0.143641652
2017,195,3,78,CHEN-118,NA,NA,NA,98,NA,NA,NA,113.04,0.006655367
2017,194,3,79,D-11986,S3B8_batch1,NA,NA,159,NA,NA,NA,NA,NA
2017,193,3,80,CHEN-114,NA,NA,NA,175,NA,NA,NA,333.86,2.589424846
2017,192,3,81,D-12173,NA,NA,NA,105,NA,NA,NA,20.85,-1.071623404
2017,191,3,82,CHEN-374,S5B5_batch2,NA,NA,168,NA,NA,NA,94.41,-0.21124607
2017,190,3,83,CHEN-209,NA,NA,NA,179,NA,NA,NA,NA,NA
2017,189,3,84,D-12147,S8B3_batch2,NA,NA,140,NA,NA,NA,151.83,0.460353529
2017,188,3,85,CHEN-286,S8B14_batch2,NA,NA,174,NA,NA,NA,NA,NA
2017,187,3,86,D-12145,NA,NA,NA,85,NA,NA,NA,NA,NA
2017,186,3,87,Ames-13743,S1B8_batch1,NA,NA,154,NA,NA,NA,201.43,1.040488327
2017,184,3,89,Ames-13727,S1G9_batch1,NA,NA,172,NA,NA,NA,340.94,2.672234409
2017,182,3,91,CHEN-307,S7G13_batch2,NA,NA,150,NA,NA,NA,96.63,-0.185280359
2017,179,3,94,Kancolla,S746_batch3,NA,NA,125,NA,NA,NA,98.25,-0.166332408
2017,178,3,95,CHEN-280,NA,NA,NA,115,NA,NA,NA,16.83,-1.118642394
2017,177,3,96,CHEN-345,NA,NA,NA,145,NA,NA,NA,46.17,-0.775473946
2017,176,3,97,D-10000,S1F5_batch2,NA,NA,150,NA,NA,NA,88.82,-0.276628198
2017,175,3,98,Ames-13723,KATRC10,NA,NA,97,NA,NA,NA,91.15,-0.249375898
2017,174,3,99,Regalona,S1C5_batch1,NA,NA,NA,NA,NA,NA,162.35,0.583398248
2017,171,3,102,NSL-86628,S1A5_batch1,NA,NA,140,NA,NA,NA,124.52,0.140928502
2017,169,3,104,CHEN-220,S2B10_batch1,NA,NA,108,NA,NA,NA,76.16,-0.424702926
2017,168,3,105,Ames-13722,S1C6_batch1,NA,NA,135,NA,NA,NA,129.66,0.20104731
2017,167,3,106,D-12015,NA,NA,NA,95,NA,NA,NA,35.28,-0.902846284
2017,165,3,108,BO-46-2,S2D1_batch1,NA,NA,125,NA,NA,NA,98.18,-0.167151147
2017,162,3,111,PI-614885,S1C9_batch1,NA,NA,155,NA,NA,NA,114.45,0.023147102
2017,160,3,113,CHEN-460,S7C5_batch2,NA,NA,122,NA,NA,NA,47.98,-0.754303705
2017,159,3,114,Ames-13760,S1G10_batch1,NA,NA,75,NA,NA,NA,22.15,-1.056418258
2017,158,3,115,D-12388,S115_batch3,NA,NA,114,NA,NA,NA,36.6,-0.887407213
2017,157,3,116,PI-614889,S1D1_batch1,NA,NA,113,NA,NA,NA,127.28,0.173210196
2017,155,3,118,CHEN-236,S6F8_batch2,NA,NA,120,NA,NA,NA,107.07,-0.063171341
2017,154,3,119,D-11981,S6A2_batch2,NA,NA,125,NA,NA,NA,134.71,0.260113453
2017,151,3,122,PI-510543,S1F10_batch1,NA,NA,87,NA,NA,NA,NA,NA
2017,150,3,123,CHEN-192,S3B2_batch2,NA,NA,100,NA,NA,NA,119.28,0.079640068
2017,149,3,124,CHEN-148,S1A4_batch2,NA,NA,160,NA,NA,NA,NA,NA
2017,148,3,125,D-12035,NA,NA,NA,165,NA,NA,NA,NA,NA
2017,147,3,126,CHEN-233,NA,NA,NA,91,NA,NA,NA,23.83,-1.036768531
2017,146,3,127,D-12199,S6F10_batch2,NA,NA,60,NA,NA,NA,29.31,-0.972672993
2017,144,3,129,CHEN-311,S2B4_batch2,NA,NA,144,NA,NA,NA,NA,NA
2017,143,3,130,CHEN-161,S4G7_batch1,NA,NA,68,NA,NA,NA,NA,NA
2017,142,3,131,CHEN-260,S1G9_batch2,NA,NA,104,NA,NA,NA,NA,NA
2017,141,3,132,CHEN-174,S4B9_batch1,NA,NA,150,NA,NA,NA,40.36,-0.843429252
2017,139,3,134,Regalona,S1C5_batch1,NA,NA,NA,NA,NA,NA,151.85,0.460587454
2017,138,3,135,D-9975,NA,NA,NA,133,NA,NA,NA,NA,NA
2017,137,3,136,D-12320,S4H8_batch1,NA,NA,113,NA,NA,NA,63.03,-0.5782749
2017,136,3,137,CHEN-182,S3G8_batch1,NA,NA,110,NA,NA,NA,NA,NA
2017,135,3,138,D-12167,S1C7_batch1,NA,NA,97,NA,NA,NA,NA,NA
2017,270,4,6,D-11950,S56_batch3,NA,NA,157,NA,NA,NA,109.89,-0.030187871
2017,272,4,8,D-12302,NA,NA,NA,110,NA,NA,NA,14.64,-1.144257216
2017,273,4,9,Regalona,S1C5_batch1,NA,NA,96,NA,NA,NA,143.22,0.359648678
2017,274,4,10,D-12130,S8F1_batch2,NA,NA,NA,NA,NA,NA,83.14,-0.343062989
2017,275,4,11,Regalona,S1C5_batch1,NA,NA,83,NA,NA,NA,NA,NA
