"iteration","fold","trait","location","pearson","ndcg_at_10","seed","n_test_genotypes"
3,2,"SdW_z_blue","AUS",0.520141711819102,0.749893335756391,1003,106
3,2,"SdW_z_blue","PAK",0.0506256445659144,0.520179206139483,1003,49
3,2,"TGW_blue","AUS",0.45808147187876,0.714149996033616,1003,101
3,2,"TGW_blue","PAK",0.233932633259538,0.78818900021484,1003,49
3,2,"SdLen_blue","AUS",0.475061466596783,0.759086278825255,1003,101
3,2,"SdLen_blue","PAK",0.381545849560855,0.847271257788488,1003,49
3,2,"DTF_blue","AUS",0.352967123966692,0.818471987688362,1003,104
3,2,"DTF_blue","PAK",0.448654359318914,0.797339176684465,1003,52
3,2,"DTH_blue","AUS",0.368149385558848,0.716688449540645,1003,102
3,2,"DTH_blue","PAK",0.342846729027179,0.889708890643735,1003,49
3,3,"PcleLng_mean","AUS",0.431210956264986,0.590284792491053,1003,103
3,3,"PcleLng_mean","PAK",0.0222458064243675,0.37608352774058,1003,68
3,3,"SdW_mean","AUS",0.209947148221862,0.651958643947408,1003,107
3,3,"SdW_mean","PAK",-0.0494185699708881,0.538898829056977,1003,66
3,3,"TGW_mean","AUS",0.415777466787723,0.668520472213062,1003,102
3,3,"TGW_mean","PAK",0.154694252049923,0.769634594599456,1003,66
3,3,"SdLen_mean","AUS",0.451077161871441,0.772915560200535,1003,102
3,3,"SdLen_mean","PAK",0.111156497253608,0.597085334202814,1003,66
3,3,"DTF_mean","AUS",0.21457449166153,0.873032706498482,1003,103
3,3,"DTF_mean","PAK",0.441457091908441,0.85658575045838,1003,69
3,3,"DTH_mean","AUS",0.390069511281605,0.825159236640603,1003,103
3,3,"DTH_mean","PAK",0.332468792411442,0.899540240121865,1003,67
3,3,"PcleLng_blue","AUS",0.416960530351915,0.563259735667378,1003,103
3,3,"PcleLng_blue","PAK",0.0692627630494242,0.377434806902203,1003,68
3,3,"SdW_z_blue","AUS",0.255045891904332,0.687750707794759,1003,107
3,3,"SdW_z_blue","PAK",-0.0405497330521003,0.496396454487174,1003,66
3,3,"TGW_blue","AUS",0.410525912490816,0.661366576032412,1003,102
3,3,"TGW_blue","PAK",0.168921897679187,0.762625949206003,1003,66
3,3,"SdLen_blue","AUS",0.457339221903676,0.725912820427921,1003,102
3,3,"SdLen_blue","PAK",0.105503080869989,0.585324979810966,1003,66
3,3,"DTF_blue","AUS",0.230898763867675,0.882371050936038,1003,103
3,3,"DTF_blue","PAK",0.485058576363509,0.806167013178515,1003,69
3,3,"DTH_blue","AUS",0.393850616062211,0.836499242731234,1003,103
3,3,"DTH_blue","PAK",0.340631288712584,0.889061847510711,1003,67
3,4,"PcleLng_mean","AUS",0.275549172217956,0.67822400472491,1003,104
3,4,"PcleLng_mean","PAK",0.0552753870487947,0.53737139011959,1003,57
3,4,"SdW_mean","AUS",0.180151083825035,0.682386817424924,1003,108
3,4,"SdW_mean","PAK",-0.183110300036493,0.551627616207437,1003,53
3,4,"TGW_mean","AUS",0.51537194304925,0.854686176533591,1003,102
3,4,"TGW_mean","PAK",0.105303199786627,0.75592185981373,1003,53
3,4,"SdLen_mean","AUS",0.451489768533377,0.783335776386079,1003,102
3,4,"SdLen_mean","PAK",0.163041714794222,0.770448104879043,1003,53
3,4,"DTF_mean","AUS",0.175228674620469,0.684101536127749,1003,104
3,4,"DTF_mean","PAK",0.260682926755553,0.795669752393007,1003,56
3,4,"DTH_mean","AUS",0.311803956723796,0.500868626242352,1003,105
3,4,"DTH_mean","PAK",0.214028135946649,0.812759662298541,1003,54
3,4,"PcleLng_blue","AUS",0.281210770283069,0.682637679654601,1003,104
3,4,"PcleLng_blue","PAK",0.0598306962694602,0.561239715767179,1003,57
3,4,"SdW_z_blue","AUS",0.164782652297901,0.658669195151057,1003,108
3,4,"SdW_z_blue","PAK",-0.0927758177001223,0.619290466625559,1003,53
3,4,"TGW_blue","AUS",0.517554119708502,0.880896898277159,1003,102
3,4,"TGW_blue","PAK",0.0717854905955586,0.751027209072311,1003,53
3,4,"SdLen_blue","AUS",0.453057267081768,0.77813249662855,1003,102
3,4,"SdLen_blue","PAK",0.213958122102802,0.791086835522989,1003,53
3,4,"DTF_blue","AUS",0.168417431516906,0.666637951003937,1003,104
3,4,"DTF_blue","PAK",0.310412163142284,0.769713088961907,1003,56
3,4,"DTH_blue","AUS",0.321879168144872,0.512557886756869,1003,105
3,4,"DTH_blue","PAK",0.182001106896717,0.816483074597966,1003,54
3,5,"PcleLng_mean","AUS",0.473150622970566,0.531102569811871,1003,102
3,5,"PcleLng_mean","PAK",0.0965260153447156,0.455014683929299,1003,58
3,5,"SdW_mean","AUS",0.355670396053529,0.816237950349951,1003,106
3,5,"SdW_mean","PAK",0.0958738898269212,0.554027420136678,1003,56
3,5,"TGW_mean","AUS",0.422055981737221,0.809536569664573,1003,99
3,5,"TGW_mean","PAK",-0.0496730724376928,0.537915180883708,1003,56
3,5,"SdLen_mean","AUS",0.44657240167203,0.89203362509889,1003,99
3,5,"SdLen_mean","PAK",0.00139373737354142,0.768750094808435,1003,56
3,5,"DTF_mean","AUS",0.208323764967058,0.763121478166658,1003,102
3,5,"DTF_mean","PAK",0.276311829457131,0.782279031986711,1003,59
3,5,"DTH_mean","AUS",0.417076918251725,0.725214638073172,1003,100
3,5,"DTH_mean","PAK",0.442054245117642,0.870260273237138,1003,56
3,5,"PcleLng_blue","AUS",0.462739166875405,0.563131071204325,1003,102
3,5,"PcleLng_blue","PAK",0.0875146988405565,0.460430194000607,1003,58
3,5,"SdW_z_blue","AUS",0.38158141580473,0.739990142653564,1003,106
3,5,"SdW_z_blue","PAK",0.0883571450617528,0.559370351630805,1003,56
3,5,"TGW_blue","AUS",0.412241927807565,0.79493757942885,1003,99
3,5,"TGW_blue","PAK",-0.0368332611543969,0.538331885601829,1003,56
3,5,"SdLen_blue","AUS",0.456403246930521,0.885669913843746,1003,99
3,5,"SdLen_blue","PAK",-0.000285761764521492,0.70058774343833,1003,56
3,5,"DTF_blue","AUS",0.194723376880733,0.792014566941635,1003,102
3,5,"DTF_blue","PAK",0.347006681958307,0.85190710644051,1003,59
3,5,"DTH_blue","AUS",0.431733156743535,0.725976646611092,1003,100
3,5,"DTH_blue","PAK",0.466812321805667,0.8809376436262,1003,56
